"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","8","","0"
"1","Catalog","0","Search","0","0","Visitors can broaden discovery by searching descriptions","0"
"1","Cart","0","Cart management","0","0","Shoppers can adjust quantities before checkout","0"
"1","Storefront","0","Cart","0","0","Visitors can begin checkout from a featured product","0"
"1","Catalog","0","Product comparison","0","0","Shoppers can clear compared products after review","0"
"1","Authentication","0","Account provisioning","0","0","Run-scoped registration","0"
"1","Catalog","0","Product comparison","0","0","Shoppers can compare multiple products before buying","0"
"1","Catalog","0","Sorting","0","0","Shoppers can order products by price","0"
"1","Catalog","0","Search","0","0","Visitors get actionable feedback for no-result searches","0"
"1","Storefront","0","Navigation","0","0","Visitors can orient themselves from the home page","0"
"1","Storefront","0","Authentication entry points","0","0","Visitors can start account flows from the home page","0"
"1","Storefront","0","Search","0","0","Visitors can discover products quickly","0"
"1","Checkout","0","Guardrails","0","0","Visitors cannot enter checkout without a cart","0"
